course_name,section_difficulty_level,section_name,subsection_difficulty_level,subsection_name,exercise_number,status,question,question_type,choice1,choice2,choice3,choice4,correct_answer,correct,incorrect
Arithmetic,1,Natural Number,1,Addition,1,true,1 + 1 = <ans>,fill_in_the_blank,3,4,5,2,1 + 1 = 2,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,1 + 2 = <ans>,fill_in_the_blank,3,4,5,2,1 + 2 = 3,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,2 + 1 = <ans>,fill_in_the_blank,1,4,3,2,2 + 1 = 3,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,5 + <ans> = <ans> + 6 = 11,fill_in_the_blank,7,8,1,9,5 + 6 = 5 + 6 = 11,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,3 + <ans> = 3 + <ans> = 7,fill_in_the_blank,11,10,15,12,3 + 4 = 3 + 4 = 7,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,7 + 8 = <ans> + 8 = <ans>,fill_in_the_blank,16,10,12,15,7 + 8 = 7 + 8 = 15,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,9 + 2 = 9 + <ans> = <ans>,fill_in_the_blank,8,9,11,12,9 + 2 = 9 + 2 = 11,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,8 + 8 = ,multiple_choice,33,14,16,0,16,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,4 + 8 = ,multiple_choice,5,4,15,12,12,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,5 + 7 = ,multiple_choice,11,10,12,22,12,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,7 + 1 = ,multiple_choice,6,8,5,9,8,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,2 + 8 = ,multiple_choice,9,6,10,12,10,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,3 + 5 = ,multiple_choice,8,9,7,6,8,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,9 + 1 = ,multiple_choice,8,10,11,12,10,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,1,true,9 + 9 = ,multiple_choice,18,0,17,19,18,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,8 + 8 = <ans>,fill_in_the_blank,33,14,16,0,8 + 8 = 16,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,4 + 8 = <ans>,fill_in_the_blank,5,4,15,12,4 + 8 = 12,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,5 + 7 = <ans>,fill_in_the_blank,11,10,12,22,5 + 7 = 12,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,7 + 1 = <ans>,fill_in_the_blank,6,8,5,9,7 + 1 = 8,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,2 + 8 = <ans>,fill_in_the_blank,9,6,10,12,2 + 8 = 10,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,3 + 5 = <ans>,fill_in_the_blank,8,9,7,6,3 + 5 = 8,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,9 + 1 = <ans>,fill_in_the_blank,8,10,11,12,9 + 1 = 10,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,9 + 9 = <ans>,fill_in_the_blank,18,0,17,19,9 + 9 = 18,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,1 + 1 = ,multiple_choice,3,4,5,2,2,Correct!,Incorrect!
Arithmetic,1,Natural Number,1,Addition,2,true,1 + 2 = ,multiple_choice,3,4,5,2,3,Correct!,Incorrect!
