course_name,section_difficulty_level,section_name,subsection_difficulty_level,subsection_name,exercise_number,status,"systemID","tags","ID","questionType","preQuestionContent","questionContent","answerContent","shuffleOptions","shuffleAnswers","numEval","correctFeedback","incorectFeedback","specialFeedback"
Arithmetic,1,Natural Number,1,Addition,1,true,"864646926152324","{""+"", ""tables"", ""<=10""}","tms_tbl_0000","FITBT","","0 + 0 = <ans>","{{0}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"019773566033400","{""+"", ""tables"", ""<=10""}","tms_tbl_0001","FITBT","","0 + 1 = <ans>","{{1}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"075653398759511","{""+"", ""tables"", ""<=10""}","tms_tbl_0002","FITBT","","0 + 2 = <ans>","{{2}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"430757537992207","{""+"", ""tables"", ""<=10""}","tms_tbl_0003","FITBT","","0 + 3 = <ans>","{{3}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"929984797591614","{""+"", ""tables"", ""<=10""}","tms_tbl_0004","FITBT","","0 + 4 = <ans>","{{4}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"904002003289711","{""+"", ""tables"", ""<=10""}","tms_tbl_0005","FITBT","","0 + 5 = <ans>","{{5}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"760849075148594","{""+"", ""tables"", ""<=10""}","tms_tbl_0006","FITBT","","0 + 6 = <ans>","{{6}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"971897558813389","{""+"", ""tables"", ""<=10""}","tms_tbl_0007","FITBT","","0 + 7 = <ans>","{{7}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"931217011889243","{""+"", ""tables"", ""<=10""}","tms_tbl_0008","FITBT","","0 + 8 = <ans>","{{8}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"591524721470874","{""+"", ""tables"", ""<=10""}","tms_tbl_0009","FITBT","","0 + 9 = <ans>","{{9}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"322110588703376","{""+"", ""tables"", ""<=10""}","tms_tbl_0010","FITBT","","0 + 10 = <ans>","{{10}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"700306470250044","{""+"", ""tables""}","tms_tbl_0011","FITBT","","0 + 11 = <ans>","{{11}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"080935587385652","{""+"", ""tables""}","tms_tbl_0012","FITBT","","0 + 12 = <ans>","{{12}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"016750276740400","{""+"", ""tables""}","tms_tbl_0013","FITBT","","0 + 13 = <ans>","{{13}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"434146786881702","{""+"", ""tables""}","tms_tbl_0014","FITBT","","0 + 14 = <ans>","{{14}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"258164755905290","{""+"", ""tables""}","tms_tbl_0015","FITBT","","0 + 15 = <ans>","{{15}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"122250186546690","{""+"", ""tables""}","tms_tbl_0016","FITBT","","0 + 16 = <ans>","{{16}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"859724570974939","{""+"", ""tables""}","tms_tbl_0017","FITBT","","0 + 17 = <ans>","{{17}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"820900604133016","{""+"", ""tables""}","tms_tbl_0018","FITBT","","0 + 18 = <ans>","{{18}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"024381802689588","{""+"", ""tables""}","tms_tbl_0019","FITBT","","0 + 19 = <ans>","{{19}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"216550525964354","{""+"", ""tables""}","tms_tbl_0020","FITBT","","0 + 20 = <ans>","{{20}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"153475336279584","{""+"", ""tables"", ""<=10""}","tms_tbl_0100","FITBT","","1 + 0 = <ans>","{{1}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"946302433594398","{""+"", ""tables"", ""<=10""}","tms_tbl_0101","FITBT","","1 + 1 = <ans>","{{2}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"225333418646422","{""+"", ""tables"", ""<=10""}","tms_tbl_0102","FITBT","","1 + 2 = <ans>","{{3}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"736416430979149","{""+"", ""tables"", ""<=10""}","tms_tbl_0103","FITBT","","1 + 3 = <ans>","{{4}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"077867284752790","{""+"", ""tables"", ""<=10""}","tms_tbl_0104","FITBT","","1 + 4 = <ans>","{{5}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"567435806935330","{""+"", ""tables"", ""<=10""}","tms_tbl_0105","FITBT","","1 + 5 = <ans>","{{6}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"822868839742597","{""+"", ""tables"", ""<=10""}","tms_tbl_0106","FITBT","","1 + 6 = <ans>","{{7}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"466948882221426","{""+"", ""tables"", ""<=10""}","tms_tbl_0107","FITBT","","1 + 7 = <ans>","{{8}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"012895742560589","{""+"", ""tables"", ""<=10""}","tms_tbl_0108","FITBT","","1 + 8 = <ans>","{{9}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"345558724781623","{""+"", ""tables"", ""<=10""}","tms_tbl_0109","FITBT","","1 + 9 = <ans>","{{10}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"954147138148319","{""+"", ""tables"", ""<=10""}","tms_tbl_0110","FITBT","","1 + 10 = <ans>","{{11}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"143437013248059","{""+"", ""tables""}","tms_tbl_0111","FITBT","","1 + 11 = <ans>","{{12}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"581256102451053","{""+"", ""tables""}","tms_tbl_0112","FITBT","","1 + 12 = <ans>","{{13}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"840463304858356","{""+"", ""tables""}","tms_tbl_0113","FITBT","","1 + 13 = <ans>","{{14}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"022787423570189","{""+"", ""tables""}","tms_tbl_0114","FITBT","","1 + 14 = <ans>","{{15}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"454523711728877","{""+"", ""tables""}","tms_tbl_0115","FITBT","","1 + 15 = <ans>","{{16}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"626233618748503","{""+"", ""tables""}","tms_tbl_0116","FITBT","","1 + 16 = <ans>","{{17}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"610505129816877","{""+"", ""tables""}","tms_tbl_0117","FITBT","","1 + 17 = <ans>","{{18}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"682899399900486","{""+"", ""tables""}","tms_tbl_0118","FITBT","","1 + 18 = <ans>","{{19}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"028219690799100","{""+"", ""tables""}","tms_tbl_0119","FITBT","","1 + 19 = <ans>","{{20}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"942792559605308","{""+"", ""tables""}","tms_tbl_0120","FITBT","","1 + 20 = <ans>","{{21}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"401095994124809","{""+"", ""tables"", ""<=10""}","tms_tbl_0200","FITBT","","2 + 0 = <ans>","{{2}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"063024909157325","{""+"", ""tables"", ""<=10""}","tms_tbl_0201","FITBT","","2 + 1 = <ans>","{{3}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"405298945737346","{""+"", ""tables"", ""<=10""}","tms_tbl_0202","FITBT","","2 + 2 = <ans>","{{4}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"414888031166510","{""+"", ""tables"", ""<=10""}","tms_tbl_0203","FITBT","","2 + 3 = <ans>","{{5}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"644095783016028","{""+"", ""tables"", ""<=10""}","tms_tbl_0204","FITBT","","2 + 4 = <ans>","{{6}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"501109957942377","{""+"", ""tables"", ""<=10""}","tms_tbl_0205","FITBT","","2 + 5 = <ans>","{{7}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"572605971996843","{""+"", ""tables"", ""<=10""}","tms_tbl_0206","FITBT","","2 + 6 = <ans>","{{8}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"710682165849579","{""+"", ""tables"", ""<=10""}","tms_tbl_0207","FITBT","","2 + 7 = <ans>","{{9}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"751685017778534","{""+"", ""tables"", ""<=10""}","tms_tbl_0208","FITBT","","2 + 8 = <ans>","{{10}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"505300461886718","{""+"", ""tables"", ""<=10""}","tms_tbl_0209","FITBT","","2 + 9 = <ans>","{{11}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"884666125325281","{""+"", ""tables"", ""<=10""}","tms_tbl_0210","FITBT","","2 + 10 = <ans>","{{12}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"573594799065778","{""+"", ""tables""}","tms_tbl_0211","FITBT","","2 + 11 = <ans>","{{13}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"877954373000259","{""+"", ""tables""}","tms_tbl_0212","FITBT","","2 + 12 = <ans>","{{14}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"691801268595688","{""+"", ""tables""}","tms_tbl_0213","FITBT","","2 + 13 = <ans>","{{15}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"275094872554798","{""+"", ""tables""}","tms_tbl_0214","FITBT","","2 + 14 = <ans>","{{16}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"750935989683351","{""+"", ""tables""}","tms_tbl_0215","FITBT","","2 + 15 = <ans>","{{17}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"554942930150609","{""+"", ""tables""}","tms_tbl_0216","FITBT","","2 + 16 = <ans>","{{18}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"224854857831773","{""+"", ""tables""}","tms_tbl_0217","FITBT","","2 + 17 = <ans>","{{19}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"684855493912249","{""+"", ""tables""}","tms_tbl_0218","FITBT","","2 + 18 = <ans>","{{20}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"416290502790064","{""+"", ""tables""}","tms_tbl_0219","FITBT","","2 + 19 = <ans>","{{21}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"953075187074728","{""+"", ""tables""}","tms_tbl_0220","FITBT","","2 + 20 = <ans>","{{22}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"081900528782655","{""+"", ""tables"", ""<=10""}","tms_tbl_0300","FITBT","","3 + 0 = <ans>","{{3}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"450133895717165","{""+"", ""tables"", ""<=10""}","tms_tbl_0301","FITBT","","3 + 1 = <ans>","{{4}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"538402338460779","{""+"", ""tables"", ""<=10""}","tms_tbl_0302","FITBT","","3 + 2 = <ans>","{{5}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"539221659088122","{""+"", ""tables"", ""<=10""}","tms_tbl_0303","FITBT","","3 + 3 = <ans>","{{6}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"142902745543515","{""+"", ""tables"", ""<=10""}","tms_tbl_0304","FITBT","","3 + 4 = <ans>","{{7}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"519525892780774","{""+"", ""tables"", ""<=10""}","tms_tbl_0305","FITBT","","3 + 5 = <ans>","{{8}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"242902030478250","{""+"", ""tables"", ""<=10""}","tms_tbl_0306","FITBT","","3 + 6 = <ans>","{{9}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"763854897543559","{""+"", ""tables"", ""<=10""}","tms_tbl_0307","FITBT","","3 + 7 = <ans>","{{10}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"965981807162885","{""+"", ""tables"", ""<=10""}","tms_tbl_0308","FITBT","","3 + 8 = <ans>","{{11}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"586841402109502","{""+"", ""tables"", ""<=10""}","tms_tbl_0309","FITBT","","3 + 9 = <ans>","{{12}}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"333790319133506","{""+"", ""tables"", ""<=10""}","tms_tbl_0310","FITBT","","3 + 10 = <ans>","{{13}}","","","True","Correct!","Incorrect..",""
