course_name,section_difficulty_level,section_name,subsection_difficulty_level,subsection_name,exercise_number,status,"systemID","tags","ID","questionType","preQuestionContent","questionContent","answerContent","optionsContent","shuffleOptions","shuffleAnswers","numEval","correctFeedback","incorectFeedback","specialFeedback"
Arithmetic,2,Rational,1,Addition,1,true,"190665912397305","{""+"", ""rational""}","fitbt_rat_pls_01020102","FITBT","Simplify your solution!","1/2 + 1/2 = <ans>","1","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"860882665883265","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_01020202","FITBT","Simplify your solution!","1/2 + 1 = <ans>","3/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"196292083581730","{""+"", ""rational""}","fitbt_rat_pls_01020302","FITBT","Simplify your solution!","1/2 + 3/2 = <ans>","2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"049466418132783","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_01020402","FITBT","Simplify your solution!","1/2 + 2 = <ans>","5/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"459328405078784","{""+"", ""rational""}","fitbt_rat_pls_01020502","FITBT","Simplify your solution!","1/2 + 5/2 = <ans>","3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"355057533164082","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_02020102","FITBT","Simplify your solution!","1 + 1/2 = <ans>","3/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"043619378630871","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_02020302","FITBT","Simplify your solution!","1 + 3/2 = <ans>","5/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"985246939261374","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_02020502","FITBT","Simplify your solution!","1 + 5/2 = <ans>","7/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"100467785602764","{""+"", ""rational""}","fitbt_rat_pls_03020102","FITBT","Simplify your solution!","3/2 + 1/2 = <ans>","2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"154603868449917","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_03020202","FITBT","Simplify your solution!","3/2 + 1 = <ans>","5/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"956265979797275","{""+"", ""rational""}","fitbt_rat_pls_03020302","FITBT","Simplify your solution!","3/2 + 3/2 = <ans>","3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"060759187833076","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_03020402","FITBT","Simplify your solution!","3/2 + 2 = <ans>","7/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"915280260120282","{""+"", ""rational""}","fitbt_rat_pls_03020502","FITBT","Simplify your solution!","3/2 + 5/2 = <ans>","4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"526720163222242","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_04020102","FITBT","Simplify your solution!","2 + 1/2 = <ans>","5/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"549084999296786","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_04020302","FITBT","Simplify your solution!","2 + 3/2 = <ans>","7/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"943267460792257","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_04020502","FITBT","Simplify your solution!","2 + 5/2 = <ans>","9/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"585488152778803","{""+"", ""rational""}","fitbt_rat_pls_05020102","FITBT","Simplify your solution!","5/2 + 1/2 = <ans>","3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"864579835421058","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_05020202","FITBT","Simplify your solution!","5/2 + 1 = <ans>","7/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"501953189753572","{""+"", ""rational""}","fitbt_rat_pls_05020302","FITBT","Simplify your solution!","5/2 + 3/2 = <ans>","4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"449603818363282","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_05020402","FITBT","Simplify your solution!","5/2 + 2 = <ans>","9/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"708994680158984","{""+"", ""rational""}","fitbt_rat_pls_05020502","FITBT","Simplify your solution!","5/2 + 5/2 = <ans>","5","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"543333979292202","{""+"", ""rational""}","fitbt_rat_pls_01030102","FITBT","Simplify your solution!","1/3 + 1/2 = <ans>","5/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"493512575891670","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_01030202","FITBT","Simplify your solution!","1/3 + 1 = <ans>","4/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"978087981530202","{""+"", ""rational""}","fitbt_rat_pls_01030302","FITBT","Simplify your solution!","1/3 + 3/2 = <ans>","11/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"018197141344418","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_01030402","FITBT","Simplify your solution!","1/3 + 2 = <ans>","7/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"809985895156639","{""+"", ""rational""}","fitbt_rat_pls_01030502","FITBT","Simplify your solution!","1/3 + 5/2 = <ans>","17/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"372254566460653","{""+"", ""rational""}","fitbt_rat_pls_02030102","FITBT","Simplify your solution!","2/3 + 1/2 = <ans>","7/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"913008853426952","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_02030202","FITBT","Simplify your solution!","2/3 + 1 = <ans>","5/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"852940914480053","{""+"", ""rational""}","fitbt_rat_pls_02030302","FITBT","Simplify your solution!","2/3 + 3/2 = <ans>","13/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"970548373116589","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_02030402","FITBT","Simplify your solution!","2/3 + 2 = <ans>","8/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"925502577029449","{""+"", ""rational""}","fitbt_rat_pls_02030502","FITBT","Simplify your solution!","2/3 + 5/2 = <ans>","19/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"733906430886565","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_03030102","FITBT","Simplify your solution!","1 + 1/2 = <ans>","3/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"952210244665787","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_03030302","FITBT","Simplify your solution!","1 + 3/2 = <ans>","5/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"785296927504120","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_03030502","FITBT","Simplify your solution!","1 + 5/2 = <ans>","7/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"943101977734938","{""+"", ""rational""}","fitbt_rat_pls_04030102","FITBT","Simplify your solution!","4/3 + 1/2 = <ans>","11/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"742955633721982","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_04030202","FITBT","Simplify your solution!","4/3 + 1 = <ans>","7/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"818190346311434","{""+"", ""rational""}","fitbt_rat_pls_04030302","FITBT","Simplify your solution!","4/3 + 3/2 = <ans>","17/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"546713937781092","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_04030402","FITBT","Simplify your solution!","4/3 + 2 = <ans>","10/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"120217645892005","{""+"", ""rational""}","fitbt_rat_pls_04030502","FITBT","Simplify your solution!","4/3 + 5/2 = <ans>","23/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"421029688073029","{""+"", ""rational""}","fitbt_rat_pls_05030102","FITBT","Simplify your solution!","5/3 + 1/2 = <ans>","13/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"918020782847580","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_05030202","FITBT","Simplify your solution!","5/3 + 1 = <ans>","8/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"637799244125851","{""+"", ""rational""}","fitbt_rat_pls_05030302","FITBT","Simplify your solution!","5/3 + 3/2 = <ans>","19/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"778865664859856","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_05030402","FITBT","Simplify your solution!","5/3 + 2 = <ans>","11/3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"341823261439529","{""+"", ""rational""}","fitbt_rat_pls_05030502","FITBT","Simplify your solution!","5/3 + 5/2 = <ans>","25/6","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"552805706256459","{""+"", ""rational""}","fitbt_rat_pls_01040102","FITBT","Simplify your solution!","1/4 + 1/2 = <ans>","3/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"162108329391181","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_01040202","FITBT","Simplify your solution!","1/4 + 1 = <ans>","5/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"453073124595873","{""+"", ""rational""}","fitbt_rat_pls_01040302","FITBT","Simplify your solution!","1/4 + 3/2 = <ans>","7/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"039313885212151","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_01040402","FITBT","Simplify your solution!","1/4 + 2 = <ans>","9/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"344118892872509","{""+"", ""rational""}","fitbt_rat_pls_01040502","FITBT","Simplify your solution!","1/4 + 5/2 = <ans>","11/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"939778756538215","{""+"", ""rational""}","fitbt_rat_pls_02040102","FITBT","Simplify your solution!","1/2 + 1/2 = <ans>","1","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"517836947493606","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_02040202","FITBT","Simplify your solution!","1/2 + 1 = <ans>","3/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"851297180729336","{""+"", ""rational""}","fitbt_rat_pls_02040302","FITBT","Simplify your solution!","1/2 + 3/2 = <ans>","2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"470937220540527","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_02040402","FITBT","Simplify your solution!","1/2 + 2 = <ans>","5/2","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"437850423921931","{""+"", ""rational""}","fitbt_rat_pls_02040502","FITBT","Simplify your solution!","1/2 + 5/2 = <ans>","3","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"108141954990837","{""+"", ""rational""}","fitbt_rat_pls_03040102","FITBT","Simplify your solution!","3/4 + 1/2 = <ans>","5/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"204864506155478","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_03040202","FITBT","Simplify your solution!","3/4 + 1 = <ans>","7/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"979615978637468","{""+"", ""rational""}","fitbt_rat_pls_03040302","FITBT","Simplify your solution!","3/4 + 3/2 = <ans>","9/4","","","","True","Correct!","Incorrect..",""
Arithmetic,2,Rational,1,Addition,1,true,"751310966573480","{""+"", ""rational"", ""integer""}","fitbt_rat_pls_03040402","FITBT","Simplify your solution!","3/4 + 2 = <ans>","11/4","","","","True","Correct!","Incorrect..",""
