course_name,section_difficulty_level,section_name,subsection_difficulty_level,subsection_name,exercise_number,status,"systemID","tags","ID","questionType","preQuestionContent","questionContent","answerContent","optionsContent","shuffleOptions","shuffleAnswers","numEval","correctFeedback","incorectFeedback","specialFeedback"
Arithmetic,1,Natural Number,1,Addition,1,true,"051200348798271","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0000","MULCH","","0 + 0 =",0,"{0, 1, 8, 5}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"981815030554652","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0001","MULCH","","0 + 1 =",1,"{1, 0, 10, 4}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"069064158486475","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0002","MULCH","","0 + 2 =",2,"{2, 0, 11, 11}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"218314357248216","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0003","MULCH","","0 + 3 =",3,"{3, 0, 11, 5}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"882487756312538","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0004","MULCH","","0 + 4 =",4,"{4, 0, 5, 5}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"487198601249027","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0005","MULCH","","0 + 5 =",5,"{5, 0, 6, 5}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"082680635654826","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0006","MULCH","","0 + 6 =",6,"{6, 0, 7, 14}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"599260672714022","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0007","MULCH","","0 + 7 =",7,"{7, 0, 10, 10}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"243521853508071","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0008","MULCH","","0 + 8 =",8,"{8, 0, 13, 13}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"902580451963405","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0009","MULCH","","0 + 9 =",9,"{9, 0, 17, 10}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"846341116213889","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0010","MULCH","","0 + 10 =",10,"{10, 0, 11, 11}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"898000605954924","{""+"", ""tables""}","mulch_tms_tbl_0011","MULCH","","0 + 11 =",11,"{11, 0, 16, 11}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"406672178450553","{""+"", ""tables""}","mulch_tms_tbl_0012","MULCH","","0 + 12 =",12,"{12, 0, 14, 19}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"769800651090908","{""+"", ""tables""}","mulch_tms_tbl_0013","MULCH","","0 + 13 =",13,"{13, 0, 15, 19}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"655678498596435","{""+"", ""tables""}","mulch_tms_tbl_0014","MULCH","","0 + 14 =",14,"{14, 0, 21, 17}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"104621978136700","{""+"", ""tables""}","mulch_tms_tbl_0015","MULCH","","0 + 15 =",15,"{15, 0, 25, 19}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"822111768109178","{""+"", ""tables""}","mulch_tms_tbl_0016","MULCH","","0 + 16 =",16,"{16, 0, 16, 19}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"371985182666385","{""+"", ""tables""}","mulch_tms_tbl_0017","MULCH","","0 + 17 =",17,"{17, 0, 27, 22}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"318159946103350","{""+"", ""tables""}","mulch_tms_tbl_0018","MULCH","","0 + 18 =",18,"{18, 0, 27, 24}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"621164415730930","{""+"", ""tables""}","mulch_tms_tbl_0019","MULCH","","0 + 19 =",19,"{19, 0, 23, 29}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"423082108310703","{""+"", ""tables""}","mulch_tms_tbl_0020","MULCH","","0 + 20 =",20,"{20, 0, 22, 29}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"076562512087234","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0100","MULCH","","1 + 0 =",1,"{1, 0, 7, 4}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"219301704705495","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0101","MULCH","","1 + 1 =",2,"{2, 1, 6, 11}","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"608290895232028","{""+"", ""tables"", ""<=10""}","mulch_tms_tbl_0102","MULCH","","1 + 2 =",3,"{3, 2, 6, 11}","","","True","Correct!","Incorrect..",""
