course_name,section_difficulty_level,section_name,subsection_difficulty_level,subsection_name,exercise_number,status,"systemID","tags","ID","questionType","preQuestionContent","questionContent","answerContent","optionsContent","shuffleOptions","shuffleAnswers","numEval","correctFeedback","incorectFeedback","specialFeedback"
Arithmetic,1,Natural Number,1,Addition,1,true,"024339372784050","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_01","MULRE","","1 =","{""1 + 0""}","{""1 + 0"", ""2 + 0"", ""3 + 0"", ""2 + 1"", ""1 + 1""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"377837898439152","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_02","MULRE","","2 =","{""2 + 0"", ""1 + 1""}","{""2 + 0"", ""1 + 1"", ""3 + 1"", ""2 + 1"", ""0 + 1"", ""1 + 0""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"809899330517172","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_03","MULRE","","3 =","{""0 + 3"", ""1 + 2""}","{""0 + 3"", ""1 + 2"", ""4 + 0"", ""1 + 1"", ""0 + 1"", ""5 + 0""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"749382898838452","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_04","MULRE","","4 =","{""1 + 3"", ""0 + 4"", ""4 + 0"", ""3 + 1""}","{""1 + 3"", ""0 + 4"", ""4 + 0"", ""3 + 1"", ""0 + 2"", ""6 + 0""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"255813244199157","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_05","MULRE","","5 =","{""2 + 3"", ""4 + 1"", ""5 + 0"", ""0 + 5""}","{""2 + 3"", ""4 + 1"", ""5 + 0"", ""0 + 5"", ""7 + 0"", ""1 + 2""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"297335597601798","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_06","MULRE","","6 =","{""0 + 6"", ""5 + 1"", ""3 + 3"", ""2 + 4""}","{""0 + 6"", ""5 + 1"", ""3 + 3"", ""2 + 4"", ""5 + 3"", ""6 + 1""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"544743578204246","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_07","MULRE","","7 =","{""1 + 6""}","{""1 + 6"", ""3 + 3"", ""5 + 4"", ""3 + 5"", ""1 + 4"", ""3 + 2""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"682858299860322","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_08","MULRE","","8 =","{""3 + 5"", ""7 + 1"", ""0 + 8""}","{""3 + 5"", ""7 + 1"", ""0 + 8"", ""8 + 2"", ""4 + 5"", ""6 + 1""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"405091268641298","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_09","MULRE","","9 =","{""1 + 8""}","{""1 + 8"", ""11 + 0"", ""7 + 3"", ""6 + 2"", ""8 + 0"", ""2 + 5""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"751023615006028","{""pls"", ""decomp"", ""<=10""}","mulre_pls_dcp_10","MULRE","","10 =","{""6 + 4"", ""1 + 9"", ""9 + 1"", ""4 + 6""}","{""6 + 4"", ""1 + 9"", ""9 + 1"", ""4 + 6"", ""5 + 3"", ""3 + 8""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"034453861382275","{""pls"", ""decomp""}","mulre_pls_dcp_11","MULRE","","11 =","{""11 + 0"", ""3 + 8""}","{""11 + 0"", ""3 + 8"", ""8 + 5"", ""6 + 7"", ""10 + 3"", ""3 + 7""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"425689474238150","{""pls"", ""decomp""}","mulre_pls_dcp_12","MULRE","","12 =","{""8 + 4"", ""0 + 12""}","{""8 + 4"", ""0 + 12"", ""9 + 4"", ""13 + 1"", ""4 + 6"", ""10 + 1""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"363459623788380","{""pls"", ""decomp""}","mulre_pls_dcp_13","MULRE","","13 =","{""5 + 8"", ""8 + 5""}","{""5 + 8"", ""8 + 5"", ""14 + 0"", ""12 + 2"", ""5 + 10"", ""9 + 3""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"084718112467872","{""pls"", ""decomp""}","mulre_pls_dcp_14","MULRE","","14 =","{""13 + 1"", ""6 + 8"", ""2 + 12""}","{""13 + 1"", ""6 + 8"", ""2 + 12"", ""15 + 1"", ""13 + 0"", ""12 + 3""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"740745211981191","{""pls"", ""decomp""}","mulre_pls_dcp_15","MULRE","","15 =","{""9 + 6""}","{""9 + 6"", ""11 + 5"", ""7 + 9"", ""13 + 3"", ""9 + 7"", ""8 + 6""}","True","True","False","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"752817041210684","{""pls"", ""decomp""}","mulre_pls_dcp_16","MULRE","","16 =","{""2 + 14""}","{""2 + 14"", ""3 + 12"", ""3 + 14"", ""1 + 14"", ""9 + 8"", ""17 + 1""}","True","True","False","Correct!","Incorrect..",""
