Cursus,Section,Subsection,Exercise,Question,Question Type,Tags,Choices,Shuffle Options,Shuffle Answers,Num Eval,Correct Answer,Correct,Incorrect,Feedback,Description,Status,skills
Toetsen,Rekentoetsen,Receptentoetsen,1,51 + 7719 + 682 + 774 + 6848 = <ans>,FITBT,"{""FR"", ""NN"", ""pls""}",,,,TRUE,16074,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""recept"", ""meervoudig""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,680 + 51 + 318 + 1940 + 3922 = <ans>,FITBT,"{""FR"", ""NN"", ""pls""}",,,,TRUE,6911,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""recept"", ""meervoudig""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,4426 – 3678 = <ans>,FITBT,"{""FR"", ""NN"", ""mns""}",,,,TRUE,748,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - aftrekken"", ""subskills"": [""recept"", ""lenen""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,5004 – 4857 = <ans>,FITBT,"{""FR"", ""NN"", ""mns""}",,,,TRUE,147,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - aftrekken"", ""subskills"": [""recept"", ""ver lenen""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,368 × 26 = <ans>,FITBT,"{""FR"", ""NN"", ""tms""}",,,,TRUE,9568,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - vermenigvuldigen"", ""subskills"": [""recept""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,267 × 862 = <ans>,FITBT,"{""FR"", ""NN"", ""tms""}",,,,TRUE,230154,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - vermenigvuldigen"", ""subskills"": [""recept""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,13275 ÷ 8 = <ans> remainder <ans>,FITBT,"{""FR"", ""NN"", ""dvs""}",,,,TRUE,1659 remainder 3,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - delen"", ""subskills"": [""met rest"", ""recept""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,32983 ÷ 14 = <ans> remainder <ans>,FITBT,"{""FR"", ""NN"", ""dvs""}",,,,TRUE,2355 remainder 13,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""NN - delen"", ""subskills"": [""met rest"", ""recept""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,74.53 + 7.797 = <ans>,FITBT,"{""FR"", ""KK"", ""pls""}",,,,TRUE,82.327,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""KK - optellen"", ""subskills"": [""recept""]}]"
Toetsen,Rekentoetsen,Receptentoetsen,1,92.3 – 9.699 = <ans>,FITBT,"{""FR"", ""KK"", ""mns""}",,,,TRUE,82.601,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""KK - aftrekken"", ""subskills"": [""recept""]}]"
