Cursus,Section,Subsection,Exercise,Question,Question Type,Tags,Choices,Shuffle Options,Shuffle Answers,Num Eval,Correct Answer,Correct,Incorrect,Feedback,Description,Status,skills
Recepten,Natuurlijke getallen,Optellen,1,50 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,120,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,80 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,150,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,30 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,100,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,10 + 90 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,100,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,70 + 50 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,120,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,80 + 40 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,120,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,40 + 50 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,90,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,10 + 40 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,50,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,70 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,140,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,300 + 200 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,500,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,200 + 400 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,600,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,800 + 600 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,1400,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,100 + 600 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,700,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,900 + 700 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,1600,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,800 + 100 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,900,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,300 + 500 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,800,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,900 + 700 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,1600,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,600 + 100 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,700,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,3000 + 3000 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,6000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,8000 + 9000 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,17000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,2000 + 8000 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,10000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,5000 + 6000 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,11000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
Recepten,Natuurlijke getallen,Optellen,1,4000 + 4000 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,8000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Bereken de som uit je hoofd en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]"
