Cursus,Section,Subsection,Exercise,Question,Question Type,Tags,Choices,Shuffle Options,Shuffle Answers,Num Eval,Correct Answer,Correct,Incorrect,Feedback,Description,Status,skills
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,2/3 <ans> 4/6,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""=""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,4/8 <ans> 6/7,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""<""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,2/6 <ans> 5/7,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""<""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,4/9 <ans> 4/6,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""<""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,7/8 <ans> 8/9,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""<""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,4/3 <ans> 6/8,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," "">""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,3/6 <ans> 6/5,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""<""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,4/7 <ans> 2/3,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""<""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,2/6 <ans> 1/3,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," ""=""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
Concepten,Gevorderde Vaardigheden,Breuken Vergelijken,1,6/3 <ans> 7/7,FITBD,"{""FR"", ""QQ"", ""comparison""}","{<,=,>}",TRUE,,TRUE," "">""",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en sleep in het vak je antwoord.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""vergelijken""]}]"
