Cursus,Section,Subsection,Exercise,Question,Question Type,Tags,Choices,Shuffle Options,Shuffle Answers,Num Eval,Correct Answer,Correct,Incorrect,Feedback,Description,Status,skills
Concepten,Basisvaardigheden,Metrieke Stelsel,1,0.71 × 10  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,7.1,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,908 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,908000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,8.09 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,8090,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,40.6 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,40600,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,32 × 10000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,320000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,5.25 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,5250,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,17.4 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,17400,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,55 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,55000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,0.15 × 100  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,15,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,80.7 × 100  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,8070,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,0.568 × 100  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,56.8,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,564 × 10  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,5640,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,0.551 × 100  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,55.1,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,0.794 × 10  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,7.94,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,7.16 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,7160,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,409 × 10  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,4090,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,3.53 × 10  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,35.3,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,1,986 × 1000  = <ans>,FITBT,"{""FR"", ""tms"", ""KK"", ""power_of_ten""}",,,,TRUE,986000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""KK - vermenigvuldigen"", ""subskills"": [""machten van tien""]}]"
