Course ID,Course Name,Course Description,Course Difficulty Level,Course Requirements,Section ID,Section Name,Section Description,Section Difficulty Level,Subsection ID,Subsection Name,Subsection Description,Subsection Difficulty Level,Exercise ID,Exercise Number,Exercise Question Type,Exercise Tags,Exercise Description,Exercise Draw By Skills,Exercise Draw By Tag,Exercise Editing Allowed,Exercise Help,Exercise Instant Feedback,Exercise Moving Allowed,Exercise Number to Draw,Exercise Passing Criterium,Exercise Save Seed,Exercise Seed,Exercise Shuffled,Exercise Text Before Start,Exercise Text After End,Exercise Timed Limit,Exercise Timed Type,Exercise Skills,Exercise Repeatable,Question ID,Question,Question Type,Question Tags,Question Choices,Question Shuffle Options,Question Shuffle Answers,Question Num Eval,Question Correct Answer,Question Correct,Question Incorrect,Question Feedback,Question Skills,Question Description
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,50 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,120,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,80 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,150,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,30 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,100,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,10 + 90 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,100,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,70 + 50 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,120,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,80 + 40 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,120,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,40 + 50 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,90,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,10 + 40 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,50,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,70 + 70 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,140,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
,Foutloos Rekenen (Penn v.01),,4,,,Recepten: Gehele getallen,,1,,Optellen,,1,,1,,,,TRUE,,,,,,8,5,,,,,,,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",TRUE,,300 + 200 = <ans>,FITBT,"{""FR"", ""power_of_ten"", ""NN"", ""pls""}",,,,TRUE,500,Goed zo!,Dat is niet goed. Controleer je stappen.,,"[{""skill"": ""NN - optellen"", ""subskills"": [""machten van 10""]}]",Bereken de som uit je hoofd en vul hieronder je antwoord in.
